Название,Адрес,Категория,Номер телефона,Cсылка
Толстяк2005,"Алтуфьевское ш., 70",Магазин мужской одежды,+7 906 084-04-60,https://www.google.com/maps/place/%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D1%8F%D0%BA2005/data=!4m7!3m6!1s0x46b53788278309b3:0xfd188dfe0d747dc!8m2!3d55.888351!4d37.588889!16s%2Fg%2F11jllg6bt0!19sChIJswmDJ4g3tUYR3EfX4N-I0Q8?authuser=0&hl=ru&rclk=1
KANZLER,Мытищи Мира 51 ТРЦ Июнь,Магазин мужской одежды,+7 498 500-06-19,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b531aa58d51c2f:0x228fe36af2563e16!8m2!3d55.9193465!4d37.7079756!16s%2Fg%2F11gb3yqxj5!19sChIJLxzVWKoxtUYRFj5W8mrjjyI?authuser=0&hl=ru&rclk=1
M.Reason,"Панфиловский пр., 6",Магазин женской одежды,+7 985 302-26-98,https://www.google.com/maps/place/M.Reason/data=!4m7!3m6!1s0x46b5144ff1989c4b:0xd0b14e5526e0c905!8m2!3d56.0086264!4d37.1996996!16s%2Fg%2F11c60p4b6r!19sChIJS5yY8U8UtUYRBcngJlVOsdA?authuser=0&hl=ru&rclk=1
Пиджак + Брюки,"Митинская ул., 25",Магазин одежды,+7 495 752-18-74,https://www.google.com/maps/place/%D0%9F%D0%B8%D0%B4%D0%B6%D0%B0%D0%BA+%2B+%D0%91%D1%80%D1%8E%D0%BA%D0%B8/data=!4m7!3m6!1s0x46b54707c9e9c657:0xb6a16c2911d1083a!8m2!3d55.8444963!4d37.3631229!16s%2Fg%2F1td4yj97!19sChIJV8bpyQdHtUYROgjRESlsobY?authuser=0&hl=ru&rclk=1
Donatto,"Большая Семеновская ул., 16",Магазин мужской одежды,+7 495 664-25-45,https://www.google.com/maps/place/Donatto/data=!4m7!3m6!1s0x46b53571f134caa9:0xe0e88f5f90550ce7!8m2!3d55.7820419!4d37.7044386!16s%2Fg%2F1pp2th6zk!19sChIJqco08XE1tUYR5wxVkF-P6OA?authuser=0&hl=ru&rclk=1
HENDERSON,"ТРЦ «ВЕСНА!», вл3с1, Алтуфьевское ш., 1-й километр, 1 этаж",Магазин мужской одежды,+7 499 649-76-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b53a007e1b2189:0xe87c883671b2cb83!8m2!3d55.9126868!4d37.5850017!16s%2Fg%2F11cst0bpj7!19sChIJiSEbfgA6tUYRg8uycTaIfOg?authuser=0&hl=ru&rclk=1
Сударь,"вл1, МКАД, 66-й километр, ТРЦ Вегас, Крокус Сити",Магазин одежды,+7 495 236-10-65,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b54776c2e05e67:0x9157f2969115452!8m2!3d55.8206476!4d37.3889653!16s%2Fg%2F11ftcbvt4j!19sChIJZ17gwnZHtUYRUlQRaSl_FQk?authuser=0&hl=ru&rclk=1
Магазин Модной Мужской Одежды,"Юбилейный пр., 36",Магазин одежды,+7 495 793-13-00,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9C%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b5388cf9901dcd:0x1aec3557067cb773!8m2!3d55.887243!4d37.4213119!16s%2Fg%2F1pzwgcq66!19sChIJzR2Q-Yw4tUYRc7d8Blc17Bo?authuser=0&hl=ru&rclk=1
Brut men,"ТЦ ""Оранжевый мир"", ул. Героев Панфиловцев, 1A",Магазин мужской одежды,+7 495 315-20-64,https://www.google.com/maps/place/Brut+men/data=!4m7!3m6!1s0x46b547f37e37065d:0x4ba5edf91e4194af!8m2!3d55.851487!4d37.438296!16s%2Fg%2F1pp2tj5hq!19sChIJXQY3fvNHtUYRr5RBHvntpUs?authuser=0&hl=ru&rclk=1
"Leon, магазин мужской одежды","Фестивальная ул., 13, корп. 1",Магазин одежды,+7 926 575-39-13,"https://www.google.com/maps/place/Leon,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b5380498a5dd1b:0x4103885fe21c9dcd!8m2!3d55.855634!4d37.477083!16s%2Fg%2F12hmlt7tt!19sChIJG92lmAQ4tUYRzZ0c4l-IA0E?authuser=0&hl=ru&rclk=1"
VENZANO,"Краснополянский пр-д, 2",Магазин мужской одежды,,https://www.google.com/maps/place/VENZANO/data=!4m7!3m6!1s0x46b53c547005406f:0x575f33ddad2500ad!8m2!3d56.0081903!4d37.4394896!16s%2Fg%2F11g88ds5rn!19sChIJb0AFcFQ8tUYRrQAlrd0zX1c?authuser=0&hl=ru&rclk=1
The King,"Тверская ул., 9",Магазин мужской одежды,+7 999 500-99-19,https://www.google.com/maps/place/The+King/data=!4m7!3m6!1s0x46b54bb9e5a9a0c7:0xd0613334d15f8349!8m2!3d55.759709!4d37.610703!16s%2Fg%2F11rwpnl4n_!19sChIJx6Cp5blLtUYRSYNf0TQzYdA?authuser=0&hl=ru&rclk=1
Мужская одежда «Egoiste»,"Локомотивный пр., владение 2 строение 2",Магазин мужской одежды,+7 901 517-05-63,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%C2%ABEgoiste%C2%BB/data=!4m7!3m6!1s0x46b5364a331b9875:0x97e6a6ee6f9b80a5!8m2!3d55.8379772!4d37.5764276!16s%2Fg%2F11c6_bm0dz!19sChIJdZgbM0o2tUYRpYCbb-6m5pc?authuser=0&hl=ru&rclk=1
Bagozza,"Ленинградское ш., 16с4",Магазин мужской одежды,+7 495 981-47-72,https://www.google.com/maps/place/Bagozza/data=!4m7!3m6!1s0x46b5483ccd13ce83:0x498a15c0763af6a4!8m2!3d55.8235157!4d37.4983157!16s%2Fg%2F124t57xmc!19sChIJg84TzTxItUYRpPY6dsAVikk?authuser=0&hl=ru&rclk=1
Officina36,"Большая Новодмитровская ул., 36 строение 2, вход 10",Магазин мужской одежды,+7 925 507-55-70,https://www.google.com/maps/place/Officina36/data=!4m7!3m6!1s0x46b549e299cfe1a9:0x934b18b99344c293!8m2!3d55.8047452!4d37.5852961!16s%2Fg%2F11c2k24zcq!19sChIJqeHPmeJJtUYRk8JEk7kYS5M?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Оружейный пер., 11",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54b506a089267:0xabea5b4a247c4307!8m2!3d55.7716654!4d37.5991391!16s%2Fg%2F11n_xz2453!19sChIJZ5IIalBLtUYRB0N8JEpb6qs?authuser=0&hl=ru&rclk=1
Strellson,"пр-т Мира, 211, стр. 2, ТЦ Золотой Вавилон",Магазин мужской одежды,+7 985 875-84-87,https://www.google.com/maps/place/Strellson/data=!4m7!3m6!1s0x46b5369b7f1509bb:0x4f3e9a3ce8bdc42a!8m2!3d55.8458977!4d37.6641033!16s%2Fg%2F1wc2_xy1!19sChIJuwkVf5s2tUYRKsS96DyaPk8?authuser=0&hl=ru&rclk=1
KANZLER,"д. Черная Грязь, ул. Торгово-промышленная, стр.6",Магазин мужской одежды,+7 495 981-01-63,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b53e2318d3e11d:0xc8413e6dc40c0af9!8m2!3d55.8764846!4d37.4221964!16s%2Fg%2F11g8wn6gmg!19sChIJHeHTGCM-tUYR-QoMxG0-Qcg?authuser=0&hl=ru&rclk=1
Сударь,"Юбилейный пр., 51",Магазин одежды,+7 495 575-41-04,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b53893acdd2fe5:0x47daee4eecd82968!8m2!3d55.889896!4d37.411238!16s%2Fg%2F1vhkj6kw!19sChIJ5S_drJM4tUYRaCnY7E7u2kc?authuser=0&hl=ru&rclk=1
Бауротти,"Головинское ш., дом 5 стр 1",Магазин мужской одежды,+7 915 195-35-61,https://www.google.com/maps/place/%D0%91%D0%B0%D1%83%D1%80%D0%BE%D1%82%D1%82%D0%B8/data=!4m7!3m6!1s0x46b537fd545a2d85:0x47a8fcb2b60bd44!8m2!3d55.8398226!4d37.4903247!16s%2Fg%2F11nx2_rq5r!19sChIJhS1aVP03tUYRRL1gK8uPegQ?authuser=0&hl=ru&rclk=1
Bigelegant.ru,"Митинская ул., 42",Магазин одежды,+7 495 133-61-70,https://www.google.com/maps/place/Bigelegant.ru/data=!4m7!3m6!1s0x46b5470f421f68d1:0x9c85674a3c0b3d44!8m2!3d55.848306!4d37.359345!16s%2Fg%2F11c85bz_qw!19sChIJ0WgfQg9HtUYRRD0LPEpnhZw?authuser=0&hl=ru&rclk=1
KORPO,Мкад 66км,Магазин одежды,+7 800 777-70-00,https://www.google.com/maps/place/KORPO/data=!4m7!3m6!1s0x46b546344957df93:0xf3725d2080852bf6!8m2!3d55.8208107!4d37.3874483!16s%2Fg%2F11cp7pg_fy!19sChIJk99XSTRGtUYR9iuFgCBdcvM?authuser=0&hl=ru&rclk=1
Сударь,"Знаменская ул., 5, ТЦ Июнь",Магазин одежды,+7 495 505-71-35,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b5465c82070075:0x15f91c9b29522f7b!8m2!3d55.8189078!4d37.3468865!16s%2Fg%2F11dxbr95xp!19sChIJdQAHglxGtUYRey9SKZsc-RU?authuser=0&hl=ru&rclk=1
HENDERSON,"Ленинградское ш., 16Ас4, ТЦ «Метрополис», 2 этаж",Магазин мужской одежды,+7 499 705-63-77,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b5483ccb8a861b:0x53a883f366e4aa73!8m2!3d55.8225748!4d37.4969397!16s%2Fg%2F11g6nbsgwl!19sChIJG4aKyzxItUYRc6rkZvODqFM?authuser=0&hl=ru&rclk=1
KANZLER,"ТРЦ Метрополис, 16Ас4, Ленинградское ш.",Магазин мужской одежды,+7 495 966-64-43,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54950eaa4dbc3:0xb5c8cf7c3537b6b9!8m2!3d55.8232492!4d37.4982905!16s%2Fg%2F11fmrpznmk!19sChIJw9uk6lBJtUYRubY3NXzPyLU?authuser=0&hl=ru&rclk=1
HENDERSON,"к2, 8-й микрорайон, СТЦ «МЕГА Химки», 1 этаж",Магазин мужской одежды,+7 499 705-59-77,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b538cfdcfcc9b7:0x77d3b0323bb51b9f!8m2!3d55.911512!4d37.397033!16s%2Fg%2F124szjtyt!19sChIJt8n83M84tUYRnxu1OzKw03c?authuser=0&hl=ru&rclk=1
Твой Костюм,"ул. Часовая, 24, стр. 2",Магазин одежды,+7 495 411-74-68,https://www.google.com/maps/place/%D0%A2%D0%B2%D0%BE%D0%B9+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC/data=!4m7!3m6!1s0x46b549ccefcc3065:0xc1c6d8ff1e63c553!8m2!3d55.8102348!4d37.52429!16s%2Fg%2F12hlbp270!19sChIJZTDM78xJtUYRU8VjHv_YxsE?authuser=0&hl=ru&rclk=1
Брюки,"Планерная ул., 16к5",Магазин одежды,+7 495 497-64-68,https://www.google.com/maps/place/%D0%91%D1%80%D1%8E%D0%BA%D0%B8/data=!4m7!3m6!1s0x46b538759af0f5d9:0x33b85c872a24e066!8m2!3d55.859251!4d37.437498!16s%2Fg%2F1hf46h_gv!19sChIJ2fXwmnU4tUYRZuAkKodcuDM?authuser=0&hl=ru&rclk=1
KANZLER,"ТРЦ РИО Дмитровка, 163Ак1, Дмитровское ш.",Магазин мужской одежды,+7 495 988-03-49,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b539ec29bfc587:0x521128480fa73e27!8m2!3d55.9103926!4d37.5428186!16s%2Fg%2F12qg1j11h!19sChIJh8W_Kew5tUYRJz6nD0goEVI?authuser=0&hl=ru&rclk=1
Tom Tailor,"Ленинградское ш., 16Ас4",Магазин одежды,+7 495 150-15-05,https://www.google.com/maps/place/Tom+Tailor/data=!4m7!3m6!1s0x46b5483ce9e105c9:0xe96ca559eb19d1f1!8m2!3d55.8232492!4d37.4982905!16s%2Fg%2F11gdtk0lnj!19sChIJyQXh6TxItUYR8dEZ61mlbOk?authuser=0&hl=ru&rclk=1
Магазин Мужской Одежды,,Магазин одежды,+7 926 995-18-11,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b53b6d21e7b4e7:0xaef29cd21ba33570!8m2!3d55.9486084!4d37.4993595!16s%2Fg%2F11f5psn9wc!19sChIJ57TnIW07tUYRcDWjG9Kc8q4?authuser=0&hl=ru&rclk=1
MANER BLICK,"Дмитровское ш., 163А",Магазин мужской одежды,+7 495 988-03-42,https://www.google.com/maps/place/MANER+BLICK/data=!4m7!3m6!1s0x46b539edd69719f7:0x6c8de795fbdad7ce!8m2!3d55.9094187!4d37.5404006!16s%2Fg%2F11bw_4zmnp!19sChIJ9xmX1u05tUYRztfa-5XnjWw?authuser=0&hl=ru&rclk=1
YIERMAN,"Волоколамское ш., 103",Магазин одежды,+7 495 902-62-85,https://www.google.com/maps/place/YIERMAN/data=!4m7!3m6!1s0x46b547b7d33fffff:0x410b22d0c80a5733!8m2!3d55.8306145!4d37.3969316!16s%2Fg%2F11qh41fnfd!19sChIJ__8_07dHtUYRM1cKyNAiC0E?authuser=0&hl=ru&rclk=1
Verbena's Dream Studio. Прокат Костюмов,"ул. Героев Панфиловцев, 9 к.1",Аренда костюмов,,https://www.google.com/maps/place/Verbena%27s+Dream+Studio.+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b5478bb9ea1a67:0x9ded675e7d8e90bc!8m2!3d55.856413!4d37.431328!16s%2Fg%2F11pz0k4qt8!19sChIJZxrquYtHtUYRvJCOfV5n7Z0?authuser=0&hl=ru&rclk=1
"MENS SEGMENT, магазин мужской классической одежды","магазин 73, Москва, проспект Мира, 211, ТРК «Европолис», 3 этаж, Сектор D",Магазин мужской одежды,+7 800 707-91-41,"https://www.google.com/maps/place/MENS+SEGMENT,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b537ea4e51a43f:0x6dc5d93a49b70092!8m2!3d55.8456765!4d37.660727!16s%2Fg%2F11rn7s8hj9!19sChIJP6RRTuo3tUYRkgC3STrZxW0?authuser=0&hl=ru&rclk=1"
Сударь,"Маршала Бирюзова ул., 14",Магазин одежды,+7 495 640-38-75,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b5498f2ec201e3:0x18912c97c9b68e29!8m2!3d55.7939932!4d37.4932496!16s%2Fg%2F11mr2tr_qz!19sChIJ4wHCLo9JtUYRKY62yZcskRg?authuser=0&hl=ru&rclk=1
VAN CLIFF (ТРЦ Авиапарк),"Ходынский б-р, 4 2 этаж ТРЦ Авиапарк",Магазин мужской одежды,+7 966 172-44-32,https://www.google.com/maps/place/VAN+CLIFF+%28%D0%A2%D0%A0%D0%A6+%D0%90%D0%B2%D0%B8%D0%B0%D0%BF%D0%B0%D1%80%D0%BA%29/data=!4m7!3m6!1s0x46b54945736d5213:0x5a2d4bb2aaf9f1d3!8m2!3d55.7903552!4d37.5313481!16s%2Fg%2F11mk7xfxwl!19sChIJE1Jtc0VJtUYR0_H5qrJLLVo?authuser=0&hl=ru&rclk=1
Laberto Tailoring Moscow,"ул. Платовская, 4",Мужской портной,+7 495 668-09-26,https://www.google.com/maps/place/Laberto+Tailoring+Moscow/data=!4m7!3m6!1s0x46b54b0beb8b87d7:0x4e09790523ba1e9!8m2!3d55.7447443!4d37.5545848!16s%2Fg%2F11gtbzd9g1!19sChIJ14eL6wtLtUYR6aE7UpCX4AQ?authuser=0&hl=ru&rclk=1
Женской Одежды Больших Размеров Магазин,"Юбилейный пр., 36",Магазин одежды,+7 495 570-77-88,https://www.google.com/maps/place/%D0%96%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B9+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D1%85+%D0%A0%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD/data=!4m7!3m6!1s0x46b5388cf9c137a1:0x2228e1b2aef2283a!8m2!3d55.887136!4d37.4213292!16s%2Fg%2F11xhnq1w2!19sChIJoTfB-Yw4tUYROijyrrLhKCI?authuser=0&hl=ru&rclk=1
Porivay Suit,"Берсеневская набережная, 6 ст. 3",Магазин одежды,+7 985 188-48-16,https://www.google.com/maps/place/Porivay+Suit/data=!4m7!3m6!1s0x46b54a9baec7c093:0x7800be19c0f0b8a4!8m2!3d55.7406616!4d37.6092567!16s%2Fg%2F11nntdskw0!19sChIJk8DHrptKtUYRpLjwwBm-AHg?authuser=0&hl=ru&rclk=1
Black Tie Club - Прокат смокингов и костюмов. Магазин смокингов и костюмов,"Неглинная ул., 29 строение 3",Магазин смокингов,+7 495 771-53-59,https://www.google.com/maps/place/Black+Tie+Club+-+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2+%D0%B8+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2.+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2+%D0%B8+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54b77cd472b03:0x4e32531c7081ead8!8m2!3d55.766885!4d37.619906!16s%2Fg%2F11j1mf6fdz!19sChIJAytHzXdLtUYR2OqBcBxTMk4?authuser=0&hl=ru&rclk=1
Костюмы Пиджаки Брюки,"ТЦ ""Семеновский Пассаж"", Большая Семеновская ул., 49А",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%9F%D0%B8%D0%B4%D0%B6%D0%B0%D0%BA%D0%B8+%D0%91%D1%80%D1%8E%D0%BA%D0%B8/data=!4m7!3m6!1s0x46b5356c8cc3be65:0x561ed010df490f1c!8m2!3d55.781989!4d37.716301!16s%2Fg%2F1pp2tjbml!19sChIJZb7DjGw1tUYRHA9J3xDQHlY?authuser=0&hl=ru&rclk=1
Quesste,"Ветошный пер., 9",Магазин мужской одежды,+7 495 748-72-03,https://www.google.com/maps/place/Quesste/data=!4m7!3m6!1s0x46b54a5a3b512ce9:0xae1998d7fd3da3bd!8m2!3d55.7555461!4d37.6218761!16s%2Fg%2F11c6f0x9_q!19sChIJ6SxRO1pKtUYRvaM9_deYGa4?authuser=0&hl=ru&rclk=1
Мужская одежда,"1-я Останкинская ул., 53",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b5367120a30327:0x7df38cbfd6adafc6!8m2!3d55.824472!4d37.632264!16s%2Fg%2F1pp2thwfj!19sChIJJwOjIHE2tUYRxq-t1r-M830?authuser=0&hl=ru&rclk=1
Сударь,"Щукинская ул., 42, ТЦ "" Щука",Магазин одежды,+7 495 640-39-54,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b549923a3b2d0b:0xdd811f1a397d1ae2!8m2!3d55.8092643!4d37.4642432!16s%2Fg%2F11qh2s9cmr!19sChIJCy07OpJJtUYR4hp9ORofgd0?authuser=0&hl=ru&rclk=1
Мужская одежда,"2 этаж, пав. №33, Анадырский пр-д, 17",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b536b06e1ebcff:0x25cfc45c2cb7134e!8m2!3d55.864003!4d37.6826071!16s%2Fg%2F11rr_jbzk!19sChIJ_7webrA2tUYRThO3LFzEzyU?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"Коммунистическая ул., 1, 2 этаж",Магазин мужской одежды,+7 929 507-52-27,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x46b5317cbede0f31:0x2f4bbbf7b385d136!8m2!3d55.8919862!4d37.7485825!16s%2Fg%2F11b5pj4pfg!19sChIJMQ_evnwxtUYRNtGFs_e7Sy8?authuser=0&hl=ru&rclk=1
KANZLER,"XL Family Outlet, Коммунистическая ул., 1",Магазин мужской одежды,+7 498 656-40-14,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b531b136dc8e55:0xde30f8f99b8e7765!8m2!3d55.8918044!4d37.7488858!16s%2Fg%2F11h4zq7w33!19sChIJVY7cNrExtUYRZXeOm_n4MN4?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Широкая ул., 12 б",Магазин одежды,+7 495 789-73-76,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b5312c7cbf778f:0xf0923f9c2d94e9bb!8m2!3d55.886524!4d37.660513!16s%2Fg%2F12hldxh9_!19sChIJj3e_fCwxtUYRu-mULZw_kvA?authuser=0&hl=ru&rclk=1
D'S Damat,"пр-т Мира, 211",Магазин мужской одежды,+7 495 139-63-19,https://www.google.com/maps/place/D%27S+Damat/data=!4m7!3m6!1s0x46b5369ba32e49e1:0x1fe27a45ba62aa5!8m2!3d55.8458783!4d37.6642094!16s%2Fg%2F12qfhfv_l!19sChIJ4Ukuo5s2tUYRpSqmW6Qn_gE?authuser=0&hl=ru&rclk=1
Van cliff,"Староватутинский пр-д, 14",Магазин одежды,+7 495 980-23-06,https://www.google.com/maps/place/Van+cliff/data=!4m7!3m6!1s0x46b536cc0e22cff7:0xf4cd411cbe46458c!8m2!3d55.8757928!4d37.6654288!16s%2Fg%2F11dxnm54f5!19sChIJ988iDsw2tUYRjEVGvhxBzfQ?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Полярная ул., 33",Магазин одежды,+7 916 727-50-20,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b530d52c7bd1e3:0x42f0bf3efea2fe1d!8m2!3d55.8887141!4d37.6428722!16s%2Fg%2F1td_3vs_!19sChIJ49F7LNUwtUYRHf6i_j6_8EI?authuser=0&hl=ru&rclk=1
Сударь,Москва Староватутинский проезд 14 ТРЦ Клён,Магазин одежды,+7 499 948-28-18,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b536cc11a738e5:0x6ebb0f46065a8fc1!8m2!3d55.8757928!4d37.6654288!16s%2Fg%2F11c0xp3k8l!19sChIJ5TinEcw2tUYRwY9aBkYPu24?authuser=0&hl=ru&rclk=1
Mondo,"Алтуфьевское ш., 8",Магазин мужской одежды,+7 926 317-09-63,https://www.google.com/maps/place/Mondo/data=!4m7!3m6!1s0x46b537ab12ca9cab:0x92f62ee376357eb2!8m2!3d55.8528198!4d37.585781!16s%2Fg%2F11g9g_tk5_!19sChIJq5zKEqs3tUYRsn41duMu9pI?authuser=0&hl=ru&rclk=1
Мужская одежда,"Новомытищинский пр., 39",Магазин одежды,+7 926 359-36-29,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b5310cd2158433:0x36b3f1e380fc4165!8m2!3d55.902977!4d37.7248909!16s%2Fg%2F11c6f614j5!19sChIJM4QV0gwxtUYRZUH8gOPxszY?authuser=0&hl=ru&rclk=1
Мужская одежда,"ул. Сукромка, 5",Магазин одежды,+7 929 998-88-15,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b5316446232fb3:0x6dc3132daecebc9e!8m2!3d55.9024797!4d37.7148417!16s%2Fg%2F11nfx6ktkh!19sChIJsy8jRmQxtUYRnrzOri0Tw20?authuser=0&hl=ru&rclk=1
HENDERSON,"Аутлет «XL Family Outlet», 2 этаж, Коммунистическая ул., 1",Магазин мужской одежды,+7 495 134-26-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b53181f7da5277:0xc3195251c74a6068!8m2!3d55.8917585!4d37.7489274!16s%2Fg%2F11jgtbkvrp!19sChIJd1La94ExtUYRaGBKx1FSGcM?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"Мытищи Шараповский проезд вл2 ст3 ТЦ Красный Кит Мытищи, 2 этаж, галерея соединяющая старый и",Магазин мужской одежды,+7 929 507-53-02,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x46b53197093a1055:0x76fe147f1e57aca8!8m2!3d55.9164644!4d37.7589757!16s%2Fg%2F1tmxv7_c!19sChIJVRA6CZcxtUYRqKxXHn8U_nY?authuser=0&hl=ru&rclk=1
